treatmentId	1980_CH1	1982_MSW1	1991_CH3	1993_MSW2	1994_Koopman	2005_MSW3	2019_HMW	2022_BatNames	2022_MDD	2022_IUCN	2023_BatNames	2023_MDD	2025_MDD_2_0	2025_batnames_1_7	2025_MDD_2_2
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L41.tsv	N/A	N/A	Pipistrellus wattsi	Pipistrellus tenuis [synonym of]	Pipistrellus tenuis wattsi	Pipistrellus wattsi	Pipistrellus wattsi	Pipistrellus wattsi	Pipistrellus wattsi	Pipistrellus wattsi	Pipistrellus wattsi	Pipistrellus wattsi	Pipistrellus wattsi	Pipistrellus wattsi	Alionoctula wattsi
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L42.tsv	N/A	N/A	Pipistrellus westralis	Pipistrellus tenuis [synonym of]	Pipistrellus tenuis westralis	Pipistrellus westralis	Pipistrellus westralis	Pipistrellus westralis	Pipistrellus westralis	Pipistrellus westralis	Pipistrellus westralis	Pipistrellus westralis	Pipistrellus westralis	Pipistrellus westralis	Alionoctula westralis
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L43.tsv	Alionycteris paucidentata	N/A	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L44.tsv	Ametrida centurio	Ametrida centurio	Ametrida centurio	Ametrida centurio	Ametrida centurio	Ametrida centurio	Ametrida centurio	Ametrida centurio	Ametrida centurio	Ametrida centurio	Ametrida centurio	Ametrida centurio	Ametrida centurio	Ametrida centurio	Ametrida centurio
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L45.tsv	Amorphochilus schnabli	Amorphochilus schnablii	Amorphochilus schnablii	Amorphochilus schnablii	Amorphochilus schnablii	Amorphochilus schnablii	Amorphochilus schnablii	Amorphochilus schnablii	Amorphochilus schnablii	Amorphochilus schnablii	Amorphochilus schnablii	Amorphochilus schnablii	Amorphochilus schnablii	Amorphochilus schnablii	Amorphochilus schnablii
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L46.tsv	N/A	N/A	N/A	Anoura caudifer [synonym of]	N/A	Anoura caudifer [synonym of]	Anoura aequatoris	Anoura caudifer	Anoura aequatoris	Anoura aequatoris	Anoura aequatoris	Anoura aequatoris	Anoura aequatoris	Anoura aequatoris	Anoura aequatoris
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L47.tsv	N/A	N/A	N/A	N/A	N/A	N/A	Anoura cadenai	Anoura cadenai	Anoura cadenai	Anoura cadenai	Anoura cadenai	Anoura cadenai	Anoura cadenai	Anoura cadenai	Anoura cadenai
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L48.tsv	Anoura caudifer	Anoura caudifer	Anoura caudifera	Anoura caudifer	Anoura caudifera	Anoura caudifer	Anoura caudifer	Anoura caudifer	Anoura caudifer	Anoura caudifer	Anoura caudifer	Anoura caudifer	Anoura caudifer	Anoura caudifer	Anoura caudifer
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L49.tsv	Anoura cultrata	Anoura cultrata	Anoura cultrata	Anoura cultrata	Anoura cultrata	Anoura cultrata	Anoura cultrata	Anoura cultrata	Anoura cultrata	Anoura cultrata	Anoura cultrata	Anoura cultrata	Anoura cultrata	Anoura cultrata	Anoura cultrata
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L50.tsv	Anoura brevirostrum	Anoura cultrata [synonym of]	Anoura cultrata [synonym of]	Anoura cultrata [synonym of]	N/A	Anoura cultrata [synonym of]	Anoura cultrata [synonym of]	Anoura cultrata brevirostrum	Anoura cultrata [synonym of]	Anoura cultrata [synonym of]	Anoura cultrata brevirostrum	Anoura cultrata [synonym of]	Anoura cultrata [synonym of]	 	Anoura cultrata brevirostrum
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L51.tsv	Anoura werckleae	Anoura cultrata [synonym of]	Anoura cultrata [synonym of]	Anoura cultrata [synonym of]	N/A	Anoura cultrata [synonym of]	Anoura cultrata [synonym of]	Anoura cultrata cultrata [synonym of]	Anoura cultrata [synonym of]	Anoura cultrata [synonym of]	Anoura cultrata cultrata [synonym of]	Anoura cultrata cultrata [synonym of]	Anoura cultrata [synonym of]	 	Anoura cultrata cultrata [synonym of]
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L52.tsv	N/A	N/A	N/A	N/A	N/A	N/A	Anoura fistulata	Anoura fistulata	Anoura fistulata	Anoura fistulata	Anoura fistulata	Anoura fistulata	Anoura fistulata	Anoura fistulata	Anoura fistulata
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L53.tsv	Anoura geoffroyi	Anoura geoffroyi	Anoura geoffroyi	Anoura geoffroyi	Anoura geoffroyi	Anoura geoffroyi	Anoura geoffroyi	Anoura geoffroyi	Anoura geoffroyi	Anoura geoffroyi	Anoura geoffroyi	Anoura geoffroyi	Anoura geoffroyi	Anoura geoffroyi	Anoura geoffroyi
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L54.tsv	N/A	N/A	N/A	N/A	N/A	N/A	Anoura javieri	Anoura javieri	Anoura javieri	N/A	Anoura javieri	Anoura javieri	Anoura javieri	Anoura javieri	Anoura javieri
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L55.tsv	N/A	N/A	Anoura latidens	Anoura latidens	Anoura latidens	Anoura latidens	Anoura latidens	Anoura latidens	Anoura latidens	Anoura latidens	Anoura latidens	Anoura latidens	Anoura latidens	Anoura latidens	Anoura latidens
